         60341816 function calls (60338469 primitive calls) in 693.266 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 feedparser.py:199(_new_message)
        2    0.000    0.000    0.000    0.000 feedparser.py:209(_pop_message)
        4    0.000    0.000    0.000    0.000 feedparser.py:217(_parsegen)
        2    0.000    0.000    0.000    0.000 feedparser.py:470(_parse_headers)
        2    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        2    0.000    0.000    0.000    0.000 feedparser.py:69(close)
       44    0.000    0.000    0.000    0.000 feedparser.py:75(readline)
        2    0.000    0.000    0.000    0.000 feedparser.py:98(push)
        2    0.028    0.014    0.280    0.140 figure.py:1075(draw)
        2    0.000    0.000    0.000    0.000 figure.py:1156(<listcomp>)
        3    0.000    0.000    0.000    0.000 figure.py:1317(gca)
        3    0.000    0.000    0.000    0.000 figure.py:139(current_key_axes)
        1    0.000    0.000    3.558    3.558 figure.py:1461(savefig)
        2    0.000    0.000    0.000    0.000 figure.py:400(_get_axes)
       92    0.000    0.000    0.000    0.000 figure.py:405(_get_dpi)
        2    0.000    0.000    0.002    0.001 figure.py:408(_set_dpi)
        2    0.000    0.000    0.000    0.000 figure.py:414(get_tight_layout)
      125    0.000    0.000    0.000    0.000 figure.py:54(_stale_figure_callback)
        1    0.000    0.000    0.000    0.000 figure.py:556(set_canvas)
        1    0.000    0.000    0.000    0.000 figure.py:727(get_edgecolor)
        1    0.000    0.000    0.000    0.000 figure.py:731(get_facecolor)
